YEAR^dist_code^port_code^I_COMMODITY^CTY_NAME^GEN_VAL_MO^trade_type^PORT_NAME^CTY_CODE^I_COMMODITY_SDESC^I_COMMODITY^PORT^YEAR
2020^23^05^10^MEXICO^85503^import^"HILDAGO, TX"^2010^CEREALS^10^2305^2020
2020^23^07^10^MEXICO^2233^import^"RIO GRANDE CITY, TX"^2010^CEREALS^10^2307^2020
2020^23^07^10^MEXICO^32534^import^"RIO GRANDE CITY, TX"^2010^CEREALS^10^2307^2020
2020^23^07^10^MEXICO^43590^import^"RIO GRANDE CITY, TX"^2010^CEREALS^10^2307^2020
2020^23^07^10^MEXICO^45130^import^"RIO GRANDE CITY, TX"^2010^CEREALS^10^2307^2020
2020^23^07^10^MEXICO^0^import^"RIO GRANDE CITY, TX"^2010^CEREALS^10^2307^2020
2020^23^07^10^MEXICO^0^import^"RIO GRANDE CITY, TX"^2010^CEREALS^10^2307^2020
2020^23^07^10^MEXICO^6062^import^"RIO GRANDE CITY, TX"^2010^CEREALS^10^2307^2020
2020^23^07^10^MEXICO^0^import^"RIO GRANDE CITY, TX"^2010^CEREALS^10^2307^2020
2020^23^07^10^MEXICO^0^import^"RIO GRANDE CITY, TX"^2010^CEREALS^10^2307^2020
2020^23^07^10^MEXICO^2036^import^"RIO GRANDE CITY, TX"^2010^CEREALS^10^2307^2020
2020^23^07^10^MEXICO^5442^import^"RIO GRANDE CITY, TX"^2010^CEREALS^10^2307^2020
2020^23^07^10^MEXICO^0^import^"RIO GRANDE CITY, TX"^2010^CEREALS^10^2307^2020
2020^23^09^10^MEXICO^28797^import^"PROGRESO, TX"^2010^CEREALS^10^2309^2020
2020^23^09^10^MEXICO^0^import^"PROGRESO, TX"^2010^CEREALS^10^2309^2020
2020^23^09^10^MEXICO^72613^import^"PROGRESO, TX"^2010^CEREALS^10^2309^2020
2020^23^09^10^MEXICO^0^import^"PROGRESO, TX"^2010^CEREALS^10^2309^2020
2020^23^09^10^MEXICO^0^import^"PROGRESO, TX"^2010^CEREALS^10^2309^2020
2020^23^09^10^MEXICO^0^import^"PROGRESO, TX"^2010^CEREALS^10^2309^2020
2020^23^09^10^MEXICO^0^import^"PROGRESO, TX"^2010^CEREALS^10^2309^2020
2020^23^09^10^MEXICO^97339^import^"PROGRESO, TX"^2010^CEREALS^10^2309^2020
2020^23^09^10^MEXICO^0^import^"PROGRESO, TX"^2010^CEREALS^10^2309^2020
2020^23^09^10^MEXICO^0^import^"PROGRESO, TX"^2010^CEREALS^10^2309^2020
2020^23^10^10^MEXICO^3994^import^"ROMA, TX"^2010^CEREALS^10^2310^2020
2020^23^10^10^MEXICO^21418^import^"ROMA, TX"^2010^CEREALS^10^2310^2020
2020^23^10^10^MEXICO^2399^import^"ROMA, TX"^2010^CEREALS^10^2310^2020
2020^23^10^10^MEXICO^42794^import^"ROMA, TX"^2010^CEREALS^10^2310^2020
2020^23^10^10^MEXICO^17136^import^"ROMA, TX"^2010^CEREALS^10^2310^2020
2020^23^10^10^MEXICO^25556^import^"ROMA, TX"^2010^CEREALS^10^2310^2020
2020^23^10^10^MEXICO^25931^import^"ROMA, TX"^2010^CEREALS^10^2310^2020
2020^23^10^10^MEXICO^25980^import^"ROMA, TX"^2010^CEREALS^10^2310^2020
2020^23^10^10^MEXICO^39969^import^"ROMA, TX"^2010^CEREALS^10^2310^2020
2020^23^10^10^MEXICO^24848^import^"ROMA, TX"^2010^CEREALS^10^2310^2020
2020^23^10^10^MEXICO^44476^import^"ROMA, TX"^2010^CEREALS^10^2310^2020
2020^23^10^10^MEXICO^48229^import^"ROMA, TX"^2010^CEREALS^10^2310^2020
2020^23^04^10^URUGUAY^17290^import^"LAREDO, TX"^3550^CEREALS^10^2304^2020
2020^23^04^10^URUGUAY^247400^import^"LAREDO, TX"^3550^CEREALS^10^2304^2020
2020^23^04^10^URUGUAY^227460^import^"LAREDO, TX"^3550^CEREALS^10^2304^2020
2020^23^04^10^URUGUAY^557603^import^"LAREDO, TX"^3550^CEREALS^10^2304^2020
2020^23^04^10^URUGUAY^0^import^"LAREDO, TX"^3550^CEREALS^10^2304^2020
2020^23^04^10^URUGUAY^0^import^"LAREDO, TX"^3550^CEREALS^10^2304^2020
2020^23^04^10^URUGUAY^0^import^"LAREDO, TX"^3550^CEREALS^10^2304^2020
2020^23^04^10^URUGUAY^0^import^"LAREDO, TX"^3550^CEREALS^10^2304^2020
2020^23^04^10^URUGUAY^28945^import^"LAREDO, TX"^3550^CEREALS^10^2304^2020
2020^23^04^10^URUGUAY^143130^import^"LAREDO, TX"^3550^CEREALS^10^2304^2020
2020^23^04^10^URUGUAY^121434^import^"LAREDO, TX"^3550^CEREALS^10^2304^2020
2020^23^04^10^URUGUAY^280313^import^"LAREDO, TX"^3550^CEREALS^10^2304^2020
2020^23^04^10^ARGENTINA^190644^import^"LAREDO, TX"^3570^CEREALS^10^2304^2020
2020^23^04^10^ARGENTINA^0^import^"LAREDO, TX"^3570^CEREALS^10^2304^2020
2020^23^04^10^ARGENTINA^0^import^"LAREDO, TX"^3570^CEREALS^10^2304^2020
2020^23^04^10^ARGENTINA^0^import^"LAREDO, TX"^3570^CEREALS^10^2304^2020
2020^23^04^10^ARGENTINA^0^import^"LAREDO, TX"^3570^CEREALS^10^2304^2020
